日期	收盘	开盘	高	低	涨跌幅
2019年9月15日	2.775	2.85	2.85	2.766	-0.39%
2019年9月8日	2.786	2.836	2.851	2.779	0.07%
2019年9月1日	2.784	2.84	2.859	2.784	-1.14%
2019年8月25日	2.816	2.9	2.9	2.806	0.07%
2019年8月18日	2.814	2.825	2.853	2.79	0.50%
2019年8月11日	2.8	2.828	2.828	2.787	-0.04%
2019年8月4日	2.801	2.87	2.87	2.8	-1.82%
2019年7月28日	2.853	2.925	2.925	2.844	-0.70%
2019年7月21日	2.873	2.9	2.9	2.868	-0.28%
2019年7月14日	2.881	2.88	2.912	2.878	-0.31%
2019年7月7日	2.89	2.91	2.948	2.873	0.00%
2019年6月30日	2.89	2.92	2.95	2.873	-1.97%
2019年6月23日	2.948	2.94	2.948	2.905	0.96%
2019年6月16日	2.92	2.97	2.975	2.912	-2.34%
2019年6月9日	2.99	2.955	3.005	2.945	1.77%
2019年6月2日	2.938	2.95	2.95	2.928	0.03%
2019年5月26日	2.937	3.015	3.015	2.937	-1.08%
2019年5月19日	2.969	3.025	3.025	2.966	-0.27%
2019年5月12日	2.977	3.014	3.026	2.973	-0.63%
2019年5月5日	2.996	3.09	3.09	2.996	-2.73%
2019年4月28日	3.08	3.03	3.08	3.03	1.22%
2019年4月21日	3.043	3.055	3.07	3.02	0.33%
2019年4月14日	3.033	3	3.08	2.98	1.95%
2019年4月7日	2.975	2.918	2.983	2.914	2.83%
2019年3月31日	2.893	2.77	2.893	2.763	5.51%
2019年3月24日	2.742	2.8	2.802	2.729	-2.59%
2019年3月17日	2.815	2.83	2.835	2.761	-0.88%
2019年3月10日	2.84	2.785	2.84	2.77	2.08%
2019年3月3日	2.782	2.771	2.813	2.755	1.72%
2019年2月24日	2.735	2.7	2.763	2.683	1.98%
2019年2月17日	2.682	2.7	2.7	2.641	1.25%
2019年2月10日	2.649	2.704	2.704	2.642	-2.18%
2019年2月3日	2.708	2.708	2.708	2.708	-0.07%
2019年1月27日	2.71	2.77	2.77	2.69	-0.26%
2019年1月20日	2.717	2.72	2.757	2.68	1.19%
2019年1月13日	2.685	2.785	2.84	2.685	-3.10%
2019年1月6日	2.771	2.85	2.85	2.743	-0.93%
2018年12月30日	2.797	2.89	2.89	2.785	-3.72%
2018年12月23日	2.905	2.918	2.923	2.894	-0.45%
2018年12月16日	2.918	2.955	2.963	2.9	0.62%
2018年12月9日	2.9	2.895	2.9	2.855	0.00%
2018年12月2日	2.9	3	3.01	2.9	-3.49%
2018年11月25日	3.005	3.03	3.035	2.996	-0.43%
2018年11月18日	3.018	3.05	3.05	3.003	0.37%
2018年11月11日	3.007	3.11	3.113	3	-3.31%
2018年11月4日	3.11	3.26	3.26	3.11	-3.02%
2018年10月28日	3.207	3.235	3.235	3.185	0.44%
2018年10月21日	3.193	3.22	3.254	3.193	-0.62%
2018年10月14日	3.213	3.28	3.28	3.2	-0.74%
2018年10月7日	3.237	3.28	3.318	3.23	-1.76%
2018年9月30日	3.295	3.325	3.325	3.29	-0.18%
2018年9月23日	3.301	3.36	3.365	3.296	-1.76%
2018年9月16日	3.36	3.38	3.38	3.338	-0.24%
2018年9月9日	3.368	3.4	3.446	3.368	-0.03%
2018年9月2日	3.369	3.33	3.385	3.27	2.31%
2018年8月26日	3.293	3.345	3.345	3.286	0.18%
2018年8月19日	3.287	3.31	3.378	3.287	1.14%
2018年8月12日	3.25	3.2	3.27	3.15	3.04%
2018年8月5日	3.154	3.09	3.181	3.006	2.57%
2018年7月29日	3.075	3.209	3.209	3.06	-4.18%
2018年7月22日	3.209	3.3	3.316	3.197	-1.47%
2018年7月15日	3.257	3.36	3.36	3.247	-0.70%
2018年7月8日	3.28	3.346	3.346	3.27	0.00%
2018年7月1日	3.28	3.4	3.4	3.275	-2.24%
2018年6月24日	3.355	3.42	3.425	3.355	-1.53%
2018年6月17日	3.407	3.45	3.45	3.393	-0.29%
2018年6月10日	3.417	3.45	3.465	3.4	-0.78%
2018年6月3日	3.444	3.4	3.463	3.397	2.71%
2018年5月27日	3.353	3.289	3.355	3.289	1.45%
2018年5月20日	3.305	3.35	3.35	3.267	1.60%
2018年5月13日	3.253	3.26	3.297	3.227	0.93%
2018年5月6日	3.223	3.3	3.3	3.22	-0.89%
2018年4月29日	3.252	3.255	3.29	3.198	9.68%
2018年4月22日	2.965	3.05	3.08	2.92	-3.58%
2018年4月15日	3.075	3.25	3.275	2.95	-9.64%
2018年4月8日	3.403	3.58	3.58	3.399	-4.49%
2018年4月1日	3.563	3.58	3.6	3.535	-0.45%
2018年3月25日	3.579	3.6	3.6	3.513	1.53%
2018年3月18日	3.525	3.58	3.65	3.525	-0.76%
2018年3月11日	3.552	3.6	3.605	3.539	0.28%
2018年3月4日	3.542	3.6	3.6	3.542	-0.51%
2018年2月25日	3.56	3.633	3.7	3.546	-2.01%
2018年2月18日	3.633	3.7	3.7	3.62	-0.11%
2018年2月11日	3.637	3.63	3.66	3.615	0.22%
2018年2月4日	3.629	3.7	3.7	3.622	-0.30%
2018年1月28日	3.64	3.7	3.7	3.61	0.00%
2018年1月21日	3.64	3.72	3.72	3.633	-1.09%
2018年1月14日	3.68	3.76	3.76	3.675	-0.22%
2018年1月7日	3.688	3.82	3.82	3.667	-1.26%
2017年12月31日	3.735	3.81	3.823	3.72	-2.66%
2017年12月24日	3.837	3.85	3.85	3.8	0.58%
2017年12月17日	3.815	3.85	3.85	3.797	0.66%
2017年12月10日	3.79	3.8	3.85	3.761	0.61%
2017年12月3日	3.767	3.8	3.8	3.758	-0.13%
2017年11月26日	3.772	3.88	3.88	3.765	-0.32%
2017年11月19日	3.784	3.85	3.85	3.771	0.61%
2017年11月12日	3.761	3.8	3.82	3.75	2.48%
2017年11月5日	3.67	3.7	3.72	3.63	0.36%
2017年10月29日	3.657	3.701	3.728	3.632	-0.35%
2017年10月22日	3.67	3.67	3.69	3.6	1.66%
2017年10月15日	3.61	3.65	3.65	3.587	0.70%
2017年10月8日	3.585	3.6	3.65	3.57	0.28%
2017年10月1日	3.575	3.602	3.602	3.575	-0.11%
