"日期","收盘","开盘","高","低","涨跌幅"
"2019年9月20日","2.775","2.787","2.787","2.775","-0.07%"
"2019年9月19日","2.777","2.840","2.840","2.777","0.22%"
"2019年9月18日","2.771","2.809","2.809","2.766","-1.32%"
"2019年9月17日","2.808","2.819","2.819","2.808","0.39%"
"2019年9月16日","2.797","2.850","2.850","2.797","0.39%"
"2019年9月12日","2.786","2.851","2.851","2.781","-0.14%"
"2019年9月11日","2.790","2.820","2.820","2.790","0.14%"
"2019年9月10日","2.786","2.831","2.831","2.786","0.25%"
"2019年9月9日","2.779","2.836","2.836","2.779","-0.18%"
"2019年9月6日","2.784","2.859","2.859","2.784","-1.35%"
"2019年9月5日","2.822","2.852","2.852","2.818","-0.56%"
"2019年9月4日","2.838","2.850","2.850","2.833","0.28%"
"2019年9月3日","2.830","2.839","2.839","2.824","0.28%"
"2019年9月2日","2.822","2.840","2.840","2.819","0.21%"
"2019年8月30日","2.816","2.834","2.834","2.816","0.18%"
"2019年8月29日","2.811","2.839","2.839","2.810","-0.18%"
"2019年8月28日","2.816","2.822","2.825","2.806","0.04%"
"2019年8月27日","2.815","2.841","2.857","2.815","-0.39%"
"2019年8月26日","2.826","2.900","2.900","2.820","0.43%"
"2019年8月23日","2.814","2.853","2.853","2.814","-0.21%"
"2019年8月22日","2.820","2.835","2.838","2.820","0.61%"
"2019年8月21日","2.803","2.822","2.822","2.800","-0.07%"
"2019年8月20日","2.805","2.803","2.817","2.800","0.07%"
"2019年8月19日","2.803","2.825","2.825","2.790","0.11%"
"2019年8月16日","2.800","2.817","2.817","2.795","0.47%"
"2019年8月15日","2.787","2.802","2.804","2.787","-0.50%"
"2019年8月14日","2.801","2.800","2.806","2.797","0.50%"
"2019年8月13日","2.787","2.807","2.807","2.787","-0.57%"
"2019年8月12日","2.803","2.828","2.828","2.795","0.07%"
"2019年8月9日","2.801","2.830","2.830","2.800","-0.25%"
"2019年8月8日","2.808","2.847","2.864","2.807","-0.85%"
"2019年8月7日","2.832","2.865","2.865","2.832","0.14%"
"2019年8月6日","2.828","2.845","2.845","2.810","0.35%"
"2019年8月5日","2.818","2.870","2.870","2.818","-1.23%"
"2019年8月2日","2.853","2.899","2.899","2.844","-0.66%"
"2019年8月1日","2.872","2.901","2.901","2.872","-0.52%"
"2019年7月31日","2.887","2.898","2.899","2.873","0.07%"
