日期	收盘	开盘	高	低	涨跌幅
2019年9月	2.775	2.816	2.859	2.766	-1.46%
2019年8月	2.816	2.901	2.901	2.787	-2.46%
2019年7月	2.887	2.92	2.95	2.868	-2.07%
2019年6月	2.948	2.95	3.005	2.905	0.37%
2019年5月	2.937	3.09	3.09	2.937	-4.64%
2019年4月	3.08	2.77	3.08	2.763	12.33%
2019年3月	2.742	2.75	2.84	2.729	-0.25%
2019年2月	2.749	2.715	2.763	2.641	2.19%
2019年1月	2.69	2.89	2.89	2.68	-7.40%
2018年12月	2.905	3	3.01	2.855	-3.33%
2018年11月	3.005	3.193	3.26	2.996	-5.89%
2018年10月	3.193	3.28	3.318	3.185	-3.10%
2018年9月	3.295	3.33	3.446	3.27	0.06%
2018年8月	3.293	3.136	3.378	3.006	6.23%
2018年7月	3.1	3.4	3.4	3.1	-7.60%
2018年6月	3.355	3.337	3.465	3.337	0.54%
2018年5月	3.337	3.21	3.35	3.21	4.25%
2018年4月	3.201	3.58	3.6	2.92	-10.56%
2018年3月	3.579	3.573	3.65	3.513	0.39%
2018年2月	3.565	3.681	3.7	3.56	-2.33%
2018年1月	3.65	3.81	3.823	3.633	-4.87%
2017年12月	3.837	3.789	3.85	3.758	1.53%
2017年11月	3.779	3.728	3.88	3.63	1.45%
2017年10月	3.725	3.6	3.725	3.57	4.20%
2017年9月	3.575	3.624	3.65	3.528	-1.05%
2017年8月	3.613	3.539	3.641	3.485	2.47%
2017年7月	3.526	3.51	3.58	3.477	0.43%
2017年6月	3.511	3.661	3.661	3.478	-3.52%
2017年5月	3.639	3.3	3.747	3.261	11.39%
2017年4月	3.267	3.037	3.267	3.025	7.82%
2017年3月	3.03	2.905	3.1	2.904	4.52%
2017年2月	2.899	2.9	3	2.855	1.97%
2017年1月	2.843	2.79	2.913	2.79	0.74%
2016年12月	2.822	2.54	3.155	2.533	12.56%
2016年11月	2.507	2.393	2.55	2.356	5.87%
2016年10月	2.368	2.45	2.45	2.3	-1.74%
2016年9月	2.41	2.447	2.5	2.341	-0.99%
2016年8月	2.434	2.47	2.51	2.36	-1.58%
2016年7月	2.473	2.564	2.598	2.473	-3.62%
2016年6月	2.566	2.6	2.65	2.55	-1.50%
2016年5月	2.605	2.72	2.72	2.55	-2.21%
2016年4月	2.664	2.33	2.697	2.311	15.32%
2016年3月	2.31	2.543	2.543	2.272	-8.33%
2016年2月	2.52	2.6	2.613	2.5	-3.74%
2016年1月	2.618	2.64	2.65	2.524	2.71%
2015年12月	2.549	2.865	2.865	2.527	-10.47%
2015年11月	2.847	2.73	2.907	2.725	4.17%
2015年10月	2.733	2.93	2.93	2.718	-6.34%
2015年9月	2.918	2.928	3	2.887	0.59%
2015年8月	2.901	2.89	2.968	2.845	0.90%
2015年7月	2.875	2.885	2.93	2.818	0.00%
2015年6月	2.875	2.89	2.9	2.772	0.31%
2015年5月	2.866	3.18	3.233	2.777	-11.21%
2015年4月	3.228	3.353	3.383	3.177	-3.61%
2015年3月	3.349	3.15	3.36	3.14	6.79%
2015年2月	3.136	3.25	3.25	3.093	-1.94%
2015年1月	3.198	3.41	3.41	3.172	-5.41%
2014年12月	3.381	3.35	3.53	3.277	2.42%
2014年11月	3.301	3.5	3.5	3.225	-5.36%
2014年10月	3.488	3.85	3.873	3.483	-9.47%
2014年9月	3.853	3.98	4.017	3.853	-2.60%
2014年8月	3.956	3.948	4	3.916	0.56%
2014年7月	3.934	3.78	4.02	3.7	6.04%
2014年6月	3.71	3.77	3.89	3.68	-4.87%
2014年5月	3.9	3.98	4.01	3.83	0.78%
2014年4月	3.87	3.86	4.06	3.7	3.75%
2014年3月	3.73	3.73	3.9	3.64	-0.53%
2014年2月	3.75	3.96	4.463	3.65	-8.54%
2014年1月	4.1	4.4	4.45	3.92	-7.45%
2013年12月	4.43	4.29	4.504	4.25	1.84%
2013年11月	4.35	4.03	4.56	3.87	10.69%
2013年10月	3.93	3.85	4.13	3.78	3.15%
2013年9月	3.81	3.95	4.09	3.79	-2.31%
2013年8月	3.9	3.58	3.96	3.26	8.94%
2013年7月	3.58	3.23	3.68	3.08	5.60%
2013年6月	3.39	3.1	3.7	3	10.60%
2013年5月	3.065	2.864	3.15	2.734	0.49%
2013年4月	3.05	2.877	3.15	2.751	5.14%
2013年3月	2.901	3.11	3.22	2.816	-6.12%
2013年2月	3.09	3.11	3.22	3.027	-0.32%
2013年1月	3.1	3.15	3.21	3	0.00%
2012年12月	3.1	3.09	3.28	2.95	-0.67%
2012年11月	3.121	3.08	3.26	2.962	0.03%
2012年10月	3.12	3.08	3.26	2.95	1.30%
2012年9月	3.08	2.99	3.3	2.75	3.01%
2012年8月	2.99	2.58	3.03	2.45	14.56%
2012年7月	2.61	2.5	2.65	2.33	2.35%
2012年6月	2.55	2.5	2.7	2.35	-1.92%
2012年5月	2.6	2.95	3.1	2.42	-12.16%
2012年4月	2.96	3	3.1	2.89	1.72%
2012年3月	2.91	3.05	3.14	2.88	-5.21%
2012年2月	3.07	2.88	3.19	2.865	6.23%
2012年1月	2.89	2.86	3.13	2.85	-2.03%
2011年12月	2.95	3.11	3.26	2.83	-4.22%
2011年11月	3.08	3.47	3.6	3.03	-12.25%
2011年10月	3.51	3.7	3.995	3.45	-6.40%
2011年9月	3.75	3.9	4.15	3.6	-1.57%
2011年8月	3.81	3.73	4	3.5	0.26%
2011年7月	3.8	3.5	3.88	3.27	9.51%
2011年6月	3.47	3.29	3.8	3.25	5.79%
2011年5月	3.28	3.26	3.45	3.19	0.92%
2011年4月	3.25	3.24	3.4	3.18	0.31%
2011年3月	3.24	3.37	3.53	3.22	-3.28%
2011年2月	3.35	3.38	3.6	3.28	1.21%
2011年1月	3.31	3.35	3.53	3.2	-2.22%
2010年12月	3.385	3.3	3.6	2.72	9.19%
2010年11月	3.1	2.6	3.4	2.33	30.25%
2010年10月	2.38	2.37	2.8	2.31	1.28%
2010年9月	2.35	2.34	2.41	2.28	0.34%
2010年8月	2.342	2.35	2.42	2.25	2.72%
2010年7月	2.28	2.37	2.52	2.25	-6.94%
2010年6月	2.45	2.28	2.6	2.2	3.81%
2010年5月	2.36	2.29	2.46	2.18	-3.40%
2010年4月	2.443	2.26	2.5	2.23	9.06%
2010年3月	2.24	2.36	2.5	2.2	-8.57%
2010年2月	2.45	2.45	2.58	2.32	2.08%
2010年1月	2.4	2.42	2.609	2.35	0.00%
2009年12月	2.4	2.37	2.48	2.33	1.52%
2009年11月	2.364	2.42	2.53	2.33	-5.44%
2009年10月	2.5	2.35	2.55	2.23	6.38%
2009年9月	2.35	2.3	2.45	2.19	-4.08%
2009年8月	2.45	2.46	2.8	2.25	-5.04%
2009年7月	2.58	1.74	2.71	1.549	44.94%
2009年6月	1.78	1.62	1.85	1.55	4.71%
2009年5月	1.7	1.9	1.954	1.596	-7.86%
2009年4月	1.845	1.823	1.934	1.546	8.59%
2009年3月	1.699	1.699	1.899	1.482	2.53%
2009年2月	1.657	1.5	1.899	1.346	8.58%
2009年1月	1.526	1.4	2.03	1.198	6.86%
2008年12月	1.428	2.05	2.2	1.299	-28.60%
2008年11月	2	2.62	2.78	1.898	-21.87%
2008年10月	2.56	3.455	3.595	2.55	-24.26%
2008年9月	3.38	3.749	4	3.183	-9.67%
2008年8月	3.742	3.932	4.036	3.746	-6.73%
2008年7月	4.012	3.961	4.06	3.636	5.55%
2008年6月	3.801	3.69	4.05	3.594	2.54%
2008年5月	3.707	3.808	3.907	3.5	1.73%
2008年4月	3.644	3.715	3.9	3.523	-1.51%
2008年3月	3.7	3.779	3.85	3.495	-0.03%
2008年2月	3.701	3.901	4.143	3.496	-9.16%
2008年1月	4.074	4.117	4.283	3.73	-1.90%
2007年12月	4.153	4.158	4.404	3.753	-0.10%
2007年11月	4.157	3.882	4.403	3.6	10.97%
2007年10月	3.746	3.804	3.924	3.313	1.30%
2007年9月	3.698	3.554	3.859	3.4	4.20%
2007年8月	3.549	3.549	3.549	3.549	-0.20%
2007年7月	3.556	3.556	3.556	3.556	0.65%
2007年6月	3.533	3.533	3.533	3.533	16.75%
2007年5月	3.026	3.026	3.026	3.026	0.93%
2007年4月	2.998	2.998	2.998	2.998	17.34%
2007年3月	2.555	2.555	2.555	2.555	3.78%
2007年2月	2.462	2.462	2.462	2.462	4.63%
2007年1月	2.353	2.353	2.353	2.353	-3.17%
2006年12月	2.43	2.43	2.43	2.43	2.10%
2006年11月	2.38	2.38	2.38	2.38	1.49%
2006年10月	2.345	2.278	2.419	2.278	2.05%
2006年9月	2.298	2.45	2.45	2.298	-6.36%
