x,y,y2,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
20071,2.83,2.73,57159.3,2.72,168363.4,13614.94,113155.76,235261.83,7.76,2.61,6.21,127541.2
20072,2.99,2.83,64781.6,3.59,169379.2,18389.15,119949.59,246958.59,7.67,2.97,6.51,131267.2
20073,3.31,2.99,69482.1,6.126,169168.1,21310.5,128547.5,256070.8,7.56,3.6,7.05,139940.7
20074,4.18,3.31,78669.3,6.65,167652,21658.54,134988.53,261075.91,7.43,3.96,7.35,148392.8
20081,4.49,4.18,69373.6,8.044,181913.2,21907.5,139242.55,272287.26,7.16,4.14,7.47,151972.6
20082,4.49,4.49,78711.8,7.761,191193.9,27213.3,147097.5,282921.57,6.96,4.14,7.47,153286.6
20083,4.35,4.49,82460.1,5.281,200628.1,29030.84,150479.41,293075.18,6.84,4.14,7.38,155877.1
20084,3.39,4.35,88699,2.536,212335.8,25443.3,153346.51,299146.61,6.83,2.79,5.85,160412.7
20091,1.35,3.39,73979.2,-0.593,237927.8,18198.13,163884.4,333371.46,6.84,2.25,5.31,169301.7
20092,1.22,1.35,83865.8,-1.523,246587.1,22257.66,186712.32,365020.21,6.83,2.25,5.31,184459.1
20093,1.65,1.22,89846.9,-1.266,251055.2,29093.3,201205.24,385595.55,6.83,2.25,5.31,199330.7
20094,1.8,1.65,100825.8,0.628,255895.9,28742.66,211867.47,396169.26,6.83,2.25,5.31,213828.3
20101,1.91,1.8,87501.3,2.198,274458.6,25522.39,210352.73,420047.75,6.83,2.25,5.31,227758
20102,2.11,1.91,99347.4,2.941,283318.2,30906.15,223679.58,439863.01,6.82,2.25,5.31,236995.9
20103,2.53,2.11,105963.7,3.463,291742.7,35246.84,228348.84,457004.6,6.77,2.25,5.31,242942.2
20104,3.18,2.53,119306.8,4.69,296562.2,32401.97,239431.44,474094.91,6.66,2.58,5.64,259785
20111,4.71,3.18,104469.9,5.079,319939.4,30467.13,264007.03,489035.18,6.58,2.92,5.98,262407
20112,4.78,4.71,118895.9,5.738,326186.7,35989.13,279377.65,507960.87,6.5,3.25,6.31,270239.7
20113,5.78,4.78,126562.2,6.223,328939,40300.5,282249.38,527161.83,6.42,3.5,6.56,270377.5
20114,5.6,5.78,138012.1,4.596,333877.3,35560.73,290156.77,541183.22,6.34,3.5,6.56,282605.6
20121,5.28,5.6,117357.6,3.765,361658.1,29185.75,281611.84,563362.76,6.31,3.5,6.56,272773.5
20122,4.46,5.28,131320.6,2.838,370567.9,32211.27,297750.39,587646.38,6.31,3.42,6.48,280388.8
20123,3.72,4.46,138089.6,1.9,382121.6,34833.86,307592.61,608592.18,6.33,3,6,285206.1
20124,3.78,3.72,151812,2.066,391069.8,32632.4,320129.74,625138.8,6.3,3,6,299616
20131,3.89,3.78,129449.6,2.433,422450.8,27003.01,324390.38,648441.58,6.28,3,6,306076.7
20132,4.28,3.89,143518.7,2.399,430927.2,33221.95,340030.11,672853.64,6.21,3,6,310450.9
20133,4.7,4.28,152222.7,8.4,436504.4,40453.69,345421.38,695209.64,6.17,3,6,312337.6
20134,4.89,4.7,167772.3,2.899,440269.1,40015.05,356085.11,713663.58,6.13,3,6,327207.5
20141,5.56,4.89,140270.2,2.3,468213.8,32871.74,351713,739942.24,6.12,3,6,319736.5
20142,5.17,5.56,155922.3,2.2,471308.2,37685.94,371529.92,766238.45,6.16,3,6,331269.8
20143,4.69,5.17,164897.8,1.966,474527,43084.27,374055.83,787729.59,6.16,3,6,330196.9
20144,4.48,4.69,180190.3,1.5,478776.9,44059.04,380866.02,809278.81,6.14,2.83,5.73,337596.1
20151,4.92,4.48,150593.8,1.2,525876.9,38081.42,372488.89,847759.91,6.14,2.67,5.52,339918.7
20152,3.65,4.92,167874.5,1.366,528064.3,38459.36,387789.93,876417.13,6.12,2.25,5.1,345185.7
20153,3.13,3.65,175803.8,1.731,536026.1,43669.48,401229.47,911629.79,6.26,1.83,4.68,360110.9
20154,3.08,3.13,191720.8,1.466,539557.3,43225.14,416920.99,933192.01,6.39,1.5,4.35,388126.1
20161,2.95,3.08,160967.3,2.133,570286.3,37889.9,434644.85,974038.28,6.53,1.5,4.35,405590.6
20162,2.91,2.95,179878.7,2.066,575024,45476.41,455201,1002351.2,6.53,1.5,4.35,427133.1
20163,2.83,2.91,189337.6,1.666,585199.8,46166.18,472879,1029871.55,6.67,1.5,4.35,450606.1
20164,2.97,2.83,209877.2,2.166,592493.3,43956.63,491768.77,1056428.89,6.83,1.5,4.35,475803.1
20171,4.06,2.97,179403.4,1.4,632183.3,38286.11,492942.04,1097548.72,6.89,1.5,4.35,479274.7
20172,4.47,4.06,199177.8,1.4,629619.6,41875.72,508494.37,1131769.09,6.86,1.5,4.35,498932.8
20173,4.34,4.47,209824.1,1.6,634808.7,47296.57,517479.99,1165496.36,6.67,1.5,4.35,515487.2
20174,4.59,4.34,232349,1.8,638100,49477.94,531160.82,1193682.29,6.61,1.5,4.35,535110.8
20181,4.69,4.59,197920,2.166,673674,45818.92,529509.15,1239572.58,6.36,1.5,4.35,527941.1
20182,4.19,4.69,219295.4,1.833,678676.9,48317.63,538018.51,1275411.75,6.38,1.5,4.35,531889.7
20183,3.11,4.19,229495.5,2.3,690502.5,53782.88,543301.36,1319183.98,6.8,1.5,4.35,537841
20184,3.04,3.11,253598.6,2.2,705928.3,49700.14,551045.86,1351575.68,6.92,1.5,4.35,545104.3
20191,2.87,3.04,213432.8,1.833,766383.4,45727.67,556917.26,1406809.15,6.75,1.5,4.35,540134.8
