,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,,
1,1.938168901,0.261783715,0.017962114,1.030162236,0.747829208,0.24302587,0.117577434,0.401833544,0.227962943,0.155,,
2,1.960858898,0.255251975,0.010747621,,0.738723986,0.152408737,0.1205017,,0.358552552,0.155,,X1 流动资产/流动负债 X2 同业融资/流动资产 X3 长期存款/短期存款 X4 总贷款/总存款 X5 同业融资/同业出借额度  X6 债券/总资产 X7 波动存款/总负债 x8 短期投资/总资产 x9 准备金率
3,1.915094546,0.267375812,0.013480613,0.826365647,0.737384541,0.160311246,0.118102499,0.445795729,0.55467685,0.155,,
4,1.576740541,0.272643025,0.011932119,,0.774885048,0.134481224,0.111059781, ,0.169449023,0.165,,
5,1.768905151,0.272644853,0.00714836,0.778243209,0.759395686,0.085973534,0.108950257,0.456733534,0.364350737,0.17,,
6,2.242850394,0.266221746,0.009131382,,0.737069876,0.129251935,0.124417477, ,0.54373986,0.17,,
7,1.986911826,0.263104027,0.006913387,0.758543243,0.754515918,0.106611449,0.113083125,0.475571754,0.861851807,0.185,,
8,1.917616838,0.287462334,0.011717178,,0.740996035,0.156592799,0.099424581, ,0.17092702,0.2,,
9,1.935845746,0.282309332,0.009147464,0.819609187,0.742939222,0.132193862,0.09649384,0.460455774,0.185739282,0.215,,
10,2.206239062,0.248814041,0.007732499,,0.764633465,0.172676066,0.10107782,,0.280717038,0.215,,
11,2.34797616,0.271999019,0.012731296,0.832349504,0.739202995,0.21703553,0.0984529,0.4606882,0.192752984,0.21,,
12,1.986590733,0.289419231,0.023304899,,0.754066176,0.327517242,0.094857265,,0.089369644,0.205,,
13,1.721385881,0.335665743,0.038552069,0.869251702,0.726215949,0.376575,0.086328261,0.418333711,0.149625561,0.2,,
14,1.898589217,0.276005602,0.010705745,,0.760981742,0.165767554,0.096614279,,0.243493486,0.2,,
15,1.857239756,0.321551631,0.044267363,0.914823443,0.752025711,0.536547998,0.083535132,0.412304088,0.281303155,0.2,,
16,2.012272243,0.302387839,0.017080948,,0.729356509,0.211118565,0.085638348,,0.12712492,0.2,,
17,1.428699598,0.314765608,0.007640591,0.937112588,0.749962289,0.075155165,0.079857945,0.401375047,0.118846521,0.2,,
18,1.541728334,0.286347171,0.006248874,,0.774846855,0.065392144,0.080049735,,0.202694362,0.2,,
19,1.375475452,0.293162733,0.005850959,0.966067979,0.791666847,0.052413801,0.072020982,0.376378737,0.198685688,0.2,,
20,1.395837481,0.300934891,0.007743569,,0.768370424,0.060759521,0.066034684,,0.104127801,0.2,,
21,1.310782592,0.350314846,0.01093907,1.017268049,0.708059173,0.064314652,0.053169385,0.357240247,0.069321983,0.2,,
22,1.469555785,0.306731123,0.011283367,,0.748886548,0.082412724,0.061018098,,0.115635974,0.2,,
23,1.474523189,0.294583953,0.007236901,1.041689682,0.760770515,0.05995483,0.058862229,0.366440264,0.166516584,0.2,,
24,1.445686115,0.27090655,0.006787771,,0.787095496,0.052500203,0.060744225,,0.130182377,0.195,,
25,1.323545614,0.281339696,0.007385031,0.887854035,0.768831179,0.048256897,0.052250039,0.372956423,0.127295512,0.185,,
26,1.383605982,0.260827248,0.008151122,,0.783959087,0.060176289,0.056089931,,0.174038526,0.18,,
27,1.294001138,0.265499341,0.007356918,0.783593646,0.790740427,0.048706337,0.054714192,0.381630753,0.158099448,0.175,,
28,1.347012891,0.236315919,0.007954619,,0.819411079,0.061605959,0.058884854,,0.038189138,0.17,,
29,1.36785074,0.240476117,0.013696597,0.605695305,0.819610209,0.117905789,0.061388605,0.445845281,0.080407809,0.17,,
30,1.193093806,0.21731098,0.009021935,,0.877515944,0.087232512,0.061899285,,0.085322943,0.17,,
31,1.128099487,0.241651183,0.010994361,0.588927383,0.85787453,0.092745098,0.06548597,0.432002533,0.133642618,0.17,,
32,1.227482384,0.198774896,0.006387677,,0.874026605,0.06144438,0.065937093,,0.041857465,0.17,,
33,1.210343045,0.210199222,0.006260678,0.602095824,0.85459221,0.059658679,0.065193905,0.44748736,0.053524289,0.17,,
34,1.065237048,0.199143901,0.008222343,,0.914288065,0.08580332,0.064106286,,0.081038034,0.17,,
35,1.130878285,0.221031243,0.007848591,0.591306581,0.877150931,0.072815778,0.06083249,0.439281895,0.146606553,0.17,,
36,0.495954276,0.469965985,0.006539726,,0.913757034,0.153359723,,,0.027292947,0.17,,
37,0.568456858,0.47911391,0.009429749,0.626552851,0.910767361,0.158491191,,0.43387363,0.064597069,0.16,,
38,0.599663309,0.461812361,0.009790504,,0.91941707,0.195729656,,,0.081300036,0.155,,
39,0.562610923,0.259419844,0.009569232,0.530482898,0.89373446,0.163404611,,0.463607306,0.147387184,0.145,,
40,0.515535126,0.229046373,0.008778305,,0.931932101,0.198738633,,,0.031271291,0.14,,
