X1：流动资产/流动负债,X2：同业融资/流动资产,X3：长期存款/短期存款,X4：总贷款/总存款,X5：同业融资/同业出借额度,X6：债券/总资产,X7：波动存款/总负债,X8：短期投资/总资产,X9：准备金率,Y：当前资产/当前负债
1.46960071,0.620184542,1.637888822,0.759341139,1.387087551,0.01489906,0.227687188,0.010608383,0.0983,0.897253031
1.606605923,0.583239099,1.886579983,0.724438798,1.240425986,0.012183705,0.201186234,0.008647373,0.1133,0.851597037
1.548910455,0.607423596,2.436176177,0.70639292,0.951073662,0.011078708,0.23419173,0.011101671,0.1217,0.635795748
1.458185588,0.649903663,2.107595695,0.693580729,1.106689653,0.011140344,0.217955074,0.008269798,0.1367,0.691871591
1.570172289,0.592802703,2.236674147,0.686327398,1.031158541,0.010916547,0.215799708,0.010540215,0.1517,0.702012088
1.759934293,0.524535593,1.81219511,0.690393703,1.14861999,0.010859076,0.212645121,0.009494258,0.1667,0.971161594
2.340541476,0.378369272,1.914911345,0.651351053,0.830824089,0.030008098,0.220088428,0.012283091,0.175,1.222271455
2.190407485,0.40779028,1.653328033,0.681849729,0.889792241,0.025625447,0.214958151,0.009805337,0.1617,1.324847485
2.405879527,0.371810594,1.643408644,0.673123967,0.691807684,0.021954767,0.220780279,0.009325098,0.155,1.463956962
1.824395229,0.512307742,1.53662092,0.73228025,1.025464665,0.019183198,0.200916772,0.009498836,0.155,1.18727736
1.839382774,0.505160264,1.409137503,0.723659831,1.115619544,0.019278586,0.228184624,0.008616189,0.155,1.305325258
1.930345559,0.487119184,1.482444857,0.722457414,0.981467839,0.019696403,0.222897864,0.00766753,0.155,1.302136501
1.658153632,0.573139621,1.666910203,0.759330484,1.13099062,0.018428346,0.23677033,0.008888384,0.1633,0.994746825
1.87695474,0.499865834,1.590471496,0.744366583,1.039551915,0.017619854,0.228366767,0.007726676,0.1683,1.180124727
2.207009231,0.415077001,1.55945863,0.722761563,0.855050721,0.017174783,0.24227629,0.008251524,0.17,1.415240641
1.946154505,0.477067122,1.331846974,0.739076671,1.066551952,0.015102974,0.237785877,0.006338795,0.1783,1.46124483
2.059520486,0.451348237,1.333840631,0.725716102,0.940517262,0.012970442,0.235491284,0.007536204,0.195,1.544052894
2.099094274,0.43283414,1.22468422,0.727113216,0.97663326,0.017216977,0.230227887,0.00757603,0.21,1.713988177
1.951702553,0.457689183,1.120899321,0.748113401,1.487735622,0.018138609,0.244328737,0.006285322,0.215,1.741193446
2.089541086,0.43359145,1.28834755,0.722670108,1.174532977,0.016517882,0.2303441,0.005556408,0.2117,1.621876865
1.892640986,0.485864316,1.142380661,0.737136722,1.121233127,0.02289259,0.235819038,0.004408858,0.2067,1.656751599
1.802177423,0.509647322,1.098951546,0.709927716,0.946168581,0.020060487,0.209166855,0.005786557,0.2017,1.639906172
1.853900315,0.489284115,0.914105038,0.743906493,1.241923691,0.020810477,0.223882439,0.007235219,0.2,2.028104251
1.8136948,0.508478178,0.753943228,0.735781324,1.071663393,0.022625013,0.206151144,0.007478686,0.2,2.405611899
2.182658326,0.391955811,1.192978255,0.713669973,0.841315881,0.022443621,0.218893202,0.006812439,0.2,1.829587687
1.751537107,0.504030721,1.237007745,0.733705727,1.048446912,0.023299041,0.200687524,0.005934191,0.2,1.415946759
1.644236867,0.538820536,1.37828105,0.757714843,1.405570877,0.017365133,0.194535401,0.005383783,0.2,1.192961963
1.512434966,0.604052332,1.46879952,0.774095982,1.566775141,0.017163633,0.188189369,0.005782045,0.2,1.029708238
1.647143303,0.559291906,1.650289964,0.750950166,1.461429369,0.018666156,0.205757531,0.007915453,0.2,0.998093268
1.790697455,0.519480382,2.074984347,0.690651284,1.147689857,0.019864609,0.178620123,0.007735159,0.2,0.862993235
1.726028829,0.52773456,1.920587442,0.730089235,1.413774559,0.021396259,0.183075844,0.008656161,0.2,0.898698383
1.736386163,0.51228565,1.755561972,0.741050067,1.636105826,0.022434243,0.183220132,0.008493544,0.2,0.989077111
1.678929081,0.526160155,1.934948101,0.765211559,1.824496631,0.032913189,0.199168901,0.008149411,0.1967,0.86768688
1.660664839,0.547372886,2.085555212,0.745331792,1.848142475,0.031057103,0.186478211,0.0099787,0.1833,0.7962699
1.640856103,0.540061132,1.646724787,0.75949589,2.052591792,0.039047223,0.200249491,0.009227749,0.18,0.996436147
1.636256606,0.536893516,1.810059687,0.766986459,1.813264666,0.045937536,0.190815377,0.010791094,0.175,0.903979365
1.715121659,0.473780376,1.85225392,0.792239368,2.098481209,0.065013488,0.227605215,0.010403086,0.1717,0.925964653
1.583350078,0.53391373,1.359775044,0.791311817,1.881047313,0.051447836,0.22292264,0.009544727,0.17,1.164420604
2.119476394,0.351088193,0.694216448,0.817649124,1.391816555,0.055110811,0.284184087,0.01080897,0.17,3.053048368
1.291778668,0.536822497,1.425598709,0.828934346,1.66234795,0.046292091,0.233613633,0.009419231,0.17,0.906130638
1.376610408,0.501782921,1.149920318,0.841896922,2.391639591,0.059256177,0.155098631,0.009449272,0.17,1.197135477
1.417189765,0.445309327,1.430752058,0.821797504,1.730612135,0.055954733,0.148990475,0.008541717,0.17,0.990520864
1.22746324,0.534662636,1.135865428,0.878654146,2.142246057,0.06237074,0.147310363,0.009057195,0.17,1.080641429
1.307939167,0.466687434,1.313440579,0.840138325,1.729970915,0.047077492,0.198551454,0.010288937,0.17,0.99581145
0.760551781,0.813085423,0.989554013,0.873804923,1.939164961,0.044697915,0.202192862,0,0.17,0.768580361
0.948433043,0.663967953,1.206503472,0.86967692,1.343530718,0.052499335,0.194678723,0,0.1583,0.78610055
0.90891754,0.632083998,1.18661715,0.876813315,1.387375543,0.0550915,0.20346293,0,0.155,0.765973709
1.165375354,0.509588839,1.274805281,0.846954964,1.228335756,0.062991858,0.199066159,0.048964612,0.145,0.914159496
